CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM210800114794,N NELLIS BLVD,,N NELLIS BLVD,OTHER,E JUDSON,OTHER,2021-08-27T00:00:00.000,1155,LAS VEGAS,CLARK,CLARK,674221.597,4007865.5436
HP22-13113,E ATLANTIC AVE,,E ATLANTIC AVE,NEBRASKA AVE,,NEBRASKA AVE,2022-07-07T00:00:00.000,820,HENDERSON,CLARK,CLARK,681930.1769,3989490.6652
LVM190300120254,S NELLIS BLVD,,S NELLIS BLVD,E SAHARA AVE,,E SAHARA AVE,2019-03-25T00:00:00.000,1249,LAS VEGAS,CLARK,CLARK,674047.7887,4001779.3013
LVM201200058734,N EASTERN AVE,,N EASTERN AVE,SEARLES AVE,,SEARLES AVE,2020-12-14T00:00:00.000,1215,LAS VEGAS,CLARK,CLARK,669404.3036,4006147.74799999
LVM190300046216,E FLAMINGO RD,,E FLAMINGO RD,S MARYLAND PKWY,,S MARYLAND PKWY,2019-03-10T00:00:00.000,1501,LAS VEGAS,CLARK,CLARK,667734.2718,3998264.4912
HP23-11683,IR11N TO SR564E/IR215N INT61,,BOULDER HWY SB,W FOSTER AVE,,W FOSTER AVE,2023-06-18T00:00:00.000,2214,HENDERSON,CLARK,CLARK,679354.220099999,3992765.2442
HP22-04106,E BASIC RD,,E BASIC RD,HAYNES ST,,HAYNES DR,2022-03-04T00:00:00.000,1333,HENDERSON,CLARK,CLARK,682415.4817,3989477.6861
LVM230400076692,PARADISE RD,,PARADISE RD,ELM DR,,ELM DR,2023-04-17T00:00:00.000,1544,LAS VEGAS,CLARK,CLARK,666042.374499999,3999196.3341
LVM230100017688,WESTCLIFF DR,,WESTCLIFF DR,RAINBOW BLVD,,RAINBOW BLVD,2023-01-05T00:00:00.000,857,LAS VEGAS,CLARK,CLARK,657884.463499999,4004661.8132
HP20-11597,W ATLANTIC AVE,,W ATLANTIC AVE,LAKE MEAD PKWY E,,LAKE MEAD PKWY E,2020-07-02T00:00:00.000,1645,HENDERSON,CLARK,CLARK,680857.192099999,3989847.94109999
NLPD1910160020948,W TROPICAL PKWY,,W TROPICAL PKWY,VALLEY DR,,VALLEY DR,2019-10-16T00:00:00.000,1559,NORTH LAS VEGAS,CLARK,CLARK,661882.471099999,4015283.7093
LVM220700085000,FLAMINGO RD,,FLAMINGO RD,ESCONDIDO ST,ESCONDIDO ST,ESCONDIDO ST,2022-07-22T00:00:00.000,52,LAS VEGAS,CLARK,CLARK,667806.973299999,3998257.75689999
LVM210300131051,OTHER,S VAN BROOK ST,OTHER,OTHER,E CAMPUS RIDGE WY,OTHER,2021-03-28T00:00:00.000,1723,LAS VEGAS,CLARK,CLARK,,
HP23-03531,BERMUDA RD,,BERMUDA RD,SR562,,SR562,2023-02-22T00:00:00.000,1429,HENDERSON,CLARK,CLARK,666183.8287,3993438.00909999
LVM201000128555,VEGAS VALLEY DR,,VEGAS VALLEY DR,S NELLIS BLVD,,S NELLIS BLVD,2020-10-30T00:00:00.000,907,,CLARK,CLARK,674134.7219,4000874.93999999
LVM230700066144,N JONES BLVD,,N JONES BLVD,OTHER,W EUGENE AVE,EUGENE AVE,2023-07-15T00:00:00.000,1317,LAS VEGAS,CLARK,CLARK,659687.281,4007446.19119999
LVM190400108121,E TROPICANA AVE,,E TROPICANA AVE,BRUSSELS ST,,BRUSSELS ST,2019-04-22T00:00:00.000,1741,LAS VEGAS,CLARK,CLARK,667510.6321,3996749.1727
LVM230400111908,COPPERFIELD AVE,W COPPERFIELD,COPPERFIELD AVE,TORREY PINES DR,TORREY PINES,TORREY PINES DR,2023-04-25T00:00:00.000,731,LAS VEGAS,CLARK,CLARK,658872.264499999,4005569.71209999
SPPD22-7535,ROCK BLVD,,ROCK BLVD,GREENBRAE DR,,GREENBRAE DR,2022-09-21T00:00:00.000,1424,SPARKS,WASHOE,WASHOE,262671.6535,4381165.05049999
HP20-14216,S GREEN VALLEY PKWY,,S GREEN VALLEY PKWY,PASEO VERDE PKWY,,PASEO VERDE PKWY,2020-08-16T00:00:00.000,612,HENDERSON,CLARK,CLARK,672692.041199999,3987913.8715
RPD19-22397,NEIL RD,,NEIL RD,CAMPUS WAY,,CAMPUS WAY,2019-11-08T00:00:00.000,1633,RENO,WASHOE,WASHOE,260684.5458,4372479.4405
HP23-18216,OLD VEGAS TRL,,OLD VEGAS TRL,WAGONWHEEL DR,,WAGONWHEEL DR,2023-09-15T00:00:00.000,555,HENDERSON,CLARK,CLARK,686355.4808,3985632.96429999
LVM230300135427,S NELLIS BLVD,,SR612,OTHER,CHARLESTON BLVD,SR159,2023-03-31T00:00:00.000,1346,LAS VEGAS,CLARK,CLARK,674300.573699999,4003208.4822
LVM190700059986,E FLAMINGO RD,,E FLAMINGO RD,KOVAL LN,,KOVAL LN,2019-07-12T00:00:00.000,1805,LAS VEGAS,CLARK,CLARK,665444.052,3998207.0437
NLPD2206160011036,W CRAIG RD,,W CRAIG RD,ALLEN LN,,ALLEN LN,2022-06-16T00:00:00.000,2029,NORTH LAS VEGAS,CLARK,CLARK,662692.5804,4012023.466
HP22-15274,S EASTERN AVE,,S EASTERN AVE,IONE RD,,IONE RD,2022-08-06T00:00:00.000,1634,HENDERSON,CLARK,CLARK,669727.7164,3986619.41589999
LVM190900094499,E LAKE MEAD BLVD,,E LAKE MEAD BLVD,N LAMB BLVD,,N LAMB BLVD,2019-09-20T00:00:00.000,1207,LAS VEGAS,CLARK,CLARK,672609.4307,4007353.26979999
RPD23-15622,KIETZKE LN,,KIETZKE LN,E GROVE ST,,E GROVE ST,2023-08-28T00:00:00.000,430,RENO,WASHOE,WASHOE,260184.1875,4376071.911
LVM210800082359,RANCHO DR N,RANCHO RD N,RANCHO DR N,W WASHINGTON AVE,W WASHINGTON AVE,W WASHINGTON AVE,2021-08-20T00:00:00.000,10,LAS VEGAS,CLARK,CLARK,663751.308299999,4005569.7092
NLPD1910100020582,N WALNUT RD,,N WALNUT RD,VILLA AZUL AVE,,VILLA AZUL AVE,2019-10-10T00:00:00.000,826,NORTH LAS VEGAS,CLARK,CLARK,671615.621399999,4015306.29199999
LVM220900092850,PALM ST,,PALM ST,OLIVE ST,,OLIVE ST,2022-09-23T00:00:00.000,1422,LAS VEGAS,CLARK,CLARK,670824.6785,4002840.29979999
HP21-20884,N GREEN VALLEY PKWY,,N GREEN VALLEY PKWY,WIGWAM PKWY,,WIGWAM PKWY,2021-11-08T00:00:00.000,1613,HENDERSON,CLARK,CLARK,672567.361299999,3989477.03639999
LVM200600068377,STEWART AVE,,STEWART AVE,OAKFORD ST,,OAKFORD ST,2020-06-17T00:00:00.000,1934,LAS VEGAS,CLARK,CLARK,674030.725599999,4004148.30839999
CCSO19-2305,N LOMPA LN,,N LOMPA LN,US50,,US50,2019-04-06T00:00:00.000,1717,,,,263480.8832,4339812.56839999
